"","무인교통단속카메라관리번호","시도명","시군구명","도로종류","도로노선번호","도로노선명","도로노선방향","소재지도로명주소","소재지지번주소"
"8258","G5807","경상남도","진주시","시도","","모덕로",2,"경상남도 진주시 대신로 324","경상남도 진주시 상대동 332-1"
"8259","G5808","경상남도","진주시","시도","","공단로",2,"경상남도 진주시 공단로 19","경상남도 진주시 상평동 283-1"
"8260","G5809","경상남도","진주시","시도","","평거로",2,"경상남도 진주시 평거로 141","경상남도 진주시 신안동 342"
"8261","G5810","경상남도","진주시","시도","","진주대로815번길",1,"경상남도 진주시 천수로 64","경상남도 진주시 주약동 110-12"
"8262","G5811","경상남도","진주시","시도","","사들로",2,"경상남도 진주시 사들로 173","경상남도 진주시 충무공동 189"
"8263","G5812","경상남도","진주시","시도","","강남로227번길",2,"경상남도 진주시 진주대로954번길 24","경상남도 진주시 칠암동 243"
"8264","G5813","경상남도","진주시","시도","","평거로",2,"경상남도 진주시 신평공원길57번길 19","경상남도 진주시 평거동 214"
"8265","G5814","경상남도","진주시","시도","","평거로",1,"경상남도 진주시 신평공원길57번길 19","경상남도 진주시 평거동 214"
"8266","G5815","경상남도","진주시","시도","","진주성로",1,"경상남도 진주시 진주성로24번길 7","경상남도 진주시 봉곡동 32"
"8267","G5816","경상남도","진주시","시도","","진주성로",2,"경상남도 진주시 진주성로24번길 7","경상남도 진주시 인사동 14"
"8268","G5817","경상남도","진주시","시도","","의병로",1,"경상남도 진주시 의병로 95-20","경상남도 진주시 상봉동 815-1"
"8269","G5818","경상남도","진주시","시도","","의병로",2,"경상남도 진주시 의병로 95-20","경상남도 진주시 상봉동 815-1"
"8270","G5819","경상남도","진주시","시도","","평거로",2,"경상남도 진주시 평거로 259","경상남도 진주시 이현동 42"
"8271","G5820","경상남도","진주시","시도","","평거로",1,"경상남도 진주시 평거로 259","경상남도 진주시 이현동 42"
"8272","G5821","경상남도","진주시","시도","","새평거로",2,"경상남도 진주시 새평거로 85","경상남도 진주시 평거동 838"
"8273","G5822","경상남도","진주시","시도","","새평거로",1,"경상남도 진주시 새평거로 85","경상남도 진주시 평거동 838"
"8274","G5823","경상남도","진주시","시도","","하대로",2,"경상남도 진주시 하대로 108","경상남도 진주시 하대동 311-1"
"8275","G5824","경상남도","진주시","시도","","하대로",2,"경상남도 진주시 하대로 102","경상남도 진주시 하대동 311-1"
"8276","G5825","경상남도","진주시","시도","","초북로",2,"경상남도 진주시 초북로 66","경상남도 진주시 초전동 1729"
"8277","G5826","경상남도","진주시","시도","","초북로",1,"경상남도 진주시 초북로 66","경상남도 진주시 초전동 1689"
"8278","G5827","경상남도","진주시","시도","","모덕로",1,"경상남도 진주시 모덕로 99","경상남도 진주시 상대동 280-31"
